"No.","Time","Source","Destination","Protocol","Length","Info"
"66","1.778121","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 65#1] 64279  >  502 [ACK] Seq=133 Ack=118 Win=20000 Len=0"
"67","1.885775","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   345; Unit:   1, Func:   3: Read Holding Registers"
"68","1.887567","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=133 Ack=118 Win=20000 Len=12"
"69","1.891078","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   345; Unit:   1, Func:   3: Read Holding Registers"
"70","1.893830","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=118 Ack=145 Win=502 Len=11"
"71","1.935793","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=145 Ack=129 Win=19989 Len=0"
"72","1.936429","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 71#1] 64279  >  502 [ACK] Seq=145 Ack=129 Win=19989 Len=0"
"73","2.059835","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   346; Unit:   1, Func:   1: Read Coils"
"74","2.063033","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=145 Ack=129 Win=19989 Len=12"
"75","2.066774","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   346; Unit:   1, Func:   1: Read Coils"
"76","2.069082","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=129 Ack=157 Win=502 Len=10"
"77","2.120399","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=157 Ack=139 Win=19979 Len=0"
"78","2.122422","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 77#1] 64279  >  502 [ACK] Seq=157 Ack=139 Win=19979 Len=0"
"79","2.231172","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   347; Unit:   1, Func:   4: Read Input Registers"
"80","2.233176","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=157 Ack=139 Win=19979 Len=12"
"81","2.235766","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   347; Unit:   1, Func:   4: Read Input Registers"
"82","2.237925","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=139 Ack=169 Win=502 Len=11"
"83","2.287882","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=169 Ack=150 Win=19968 Len=0"
"84","2.288546","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 83#1] 64279  >  502 [ACK] Seq=169 Ack=150 Win=19968 Len=0"
"85","2.409060","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   348; Unit:   1, Func:   3: Read Holding Registers"
"86","2.412071","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=169 Ack=150 Win=19968 Len=12"
"87","2.414055","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   348; Unit:   1, Func:   3: Read Holding Registers"
"88","2.415722","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=150 Ack=181 Win=502 Len=11"
"89","2.459927","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=181 Ack=161 Win=19957 Len=0"
"90","2.461951","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 89#1] 64279  >  502 [ACK] Seq=181 Ack=161 Win=19957 Len=0"
"91","2.584071","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   349; Unit:   1, Func:   1: Read Coils"
"92","2.586862","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=181 Ack=161 Win=19957 Len=12"
"93","2.591117","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   349; Unit:   1, Func:   1: Read Coils"
"94","2.592446","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=161 Ack=193 Win=502 Len=10"
"95","2.637848","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=193 Ack=171 Win=19947 Len=0"
"96","2.639019","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 95#1] 64279  >  502 [ACK] Seq=193 Ack=171 Win=19947 Len=0"
"97","2.762056","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   350; Unit:   1, Func:   4: Read Input Registers"
"98","2.763717","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=193 Ack=171 Win=19947 Len=12"
"99","2.766865","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   350; Unit:   1, Func:   4: Read Input Registers"
"100","2.768164","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=171 Ack=205 Win=502 Len=11"
"101","2.824415","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=205 Ack=182 Win=19936 Len=0"
"102","2.828122","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 101#1] 64279  >  502 [ACK] Seq=205 Ack=182 Win=19936 Len=0"
"103","2.932175","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   351; Unit:   1, Func:   3: Read Holding Registers"
"104","2.933898","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=205 Ack=182 Win=19936 Len=12"
"105","2.936406","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   351; Unit:   1, Func:   3: Read Holding Registers"
"106","2.937672","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=182 Ack=217 Win=502 Len=11"
"107","2.985764","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=217 Ack=193 Win=19925 Len=0"
"108","2.986548","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 107#1] 64279  >  502 [ACK] Seq=217 Ack=193 Win=19925 Len=0"
"109","3.107474","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   352; Unit:   1, Func:   1: Read Coils"
"110","3.109944","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=217 Ack=193 Win=19925 Len=12"
"111","3.111913","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   352; Unit:   1, Func:   1: Read Coils"
"112","3.114574","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=193 Ack=229 Win=502 Len=10"
"113","3.166227","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=229 Ack=203 Win=19915 Len=0"
"114","3.167261","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 113#1] 64279  >  502 [ACK] Seq=229 Ack=203 Win=19915 Len=0"
"115","3.288256","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   353; Unit:   1, Func:   4: Read Input Registers"
"116","3.289341","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=229 Ack=203 Win=19915 Len=12"
"117","3.292177","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   353; Unit:   1, Func:   4: Read Input Registers"
"118","3.294061","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=203 Ack=241 Win=502 Len=11"
"119","3.337001","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=241 Ack=214 Win=19904 Len=0"
"120","3.337874","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 119#1] 64279  >  502 [ACK] Seq=241 Ack=214 Win=19904 Len=0"
"121","3.458149","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   354; Unit:   1, Func:   3: Read Holding Registers"
"122","3.460110","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=241 Ack=214 Win=19904 Len=12"
"123","3.462061","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   354; Unit:   1, Func:   3: Read Holding Registers"
"124","3.463322","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=214 Ack=253 Win=502 Len=11"
"125","3.509353","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=253 Ack=225 Win=19893 Len=0"
"126","3.511068","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 125#1] 64279  >  502 [ACK] Seq=253 Ack=225 Win=19893 Len=0"
"127","3.632841","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   355; Unit:   1, Func:   1: Read Coils"
"128","3.635467","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=253 Ack=225 Win=19893 Len=12"
"129","3.637085","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   355; Unit:   1, Func:   1: Read Coils"
"130","3.638954","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=225 Ack=265 Win=502 Len=10"
"131","3.689756","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=265 Ack=235 Win=19883 Len=0"
"132","3.690507","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 131#1] 64279  >  502 [ACK] Seq=265 Ack=235 Win=19883 Len=0"
"133","3.807560","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   356; Unit:   1, Func:   4: Read Input Registers"
"134","3.809854","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=265 Ack=235 Win=19883 Len=12"
"135","3.812260","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   356; Unit:   1, Func:   4: Read Input Registers"
"136","3.814747","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=235 Ack=277 Win=502 Len=11"
"137","3.863684","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=277 Ack=246 Win=19872 Len=0"
"138","3.866419","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 137#1] 64279  >  502 [ACK] Seq=277 Ack=246 Win=19872 Len=0"
"139","3.977435","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   357; Unit:   1, Func:   3: Read Holding Registers"
"140","3.978945","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=277 Ack=246 Win=19872 Len=12"
"141","3.981915","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   357; Unit:   1, Func:   3: Read Holding Registers"
"142","3.983825","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=246 Ack=289 Win=502 Len=11"
"143","4.027623","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=289 Ack=257 Win=19861 Len=0"
"144","4.030174","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 143#1] 64279  >  502 [ACK] Seq=289 Ack=257 Win=19861 Len=0"
"145","4.145017","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   358; Unit:   1, Func:   1: Read Coils"
"146","4.146938","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=289 Ack=257 Win=19861 Len=12"
"147","4.149777","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   358; Unit:   1, Func:   1: Read Coils"
"148","4.151241","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=257 Ack=301 Win=502 Len=10"
"149","4.202971","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=301 Ack=267 Win=19851 Len=0"
"150","4.205118","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 149#1] 64279  >  502 [ACK] Seq=301 Ack=267 Win=19851 Len=0"
"151","4.317863","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   359; Unit:   1, Func:   4: Read Input Registers"
"152","4.320147","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=301 Ack=267 Win=19851 Len=12"
"153","4.323856","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   359; Unit:   1, Func:   4: Read Input Registers"
"154","4.326760","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=267 Ack=313 Win=502 Len=11"
"155","4.367998","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=313 Ack=278 Win=19840 Len=0"
"156","4.370057","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 155#1] 64279  >  502 [ACK] Seq=313 Ack=278 Win=19840 Len=0"
"157","4.490388","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   360; Unit:   1, Func:   3: Read Holding Registers"
"158","4.493538","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=313 Ack=278 Win=19840 Len=12"
"159","4.498048","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   360; Unit:   1, Func:   3: Read Holding Registers"
"160","4.500097","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=278 Ack=325 Win=502 Len=11"
"161","4.542290","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=325 Ack=289 Win=19829 Len=0"
"162","4.543916","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 161#1] 64279  >  502 [ACK] Seq=325 Ack=289 Win=19829 Len=0"
"163","4.663211","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   361; Unit:   1, Func:   1: Read Coils"
"164","4.666207","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=325 Ack=289 Win=19829 Len=12"
"165","4.669202","10.10.10.10","10.10.20.30","Modbus/TCP","68","Response: Trans:   361; Unit:   1, Func:   1: Read Coils"
"166","4.671245","10.10.10.10","10.10.20.30","TCP","68","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=289 Ack=337 Win=502 Len=10"
"167","4.724744","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=337 Ack=299 Win=19819 Len=0"
"168","4.729696","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 167#1] 64279  >  502 [ACK] Seq=337 Ack=299 Win=19819 Len=0"
"169","4.836630","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   362; Unit:   1, Func:   4: Read Input Registers"
"170","4.840583","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=337 Ack=299 Win=19819 Len=12"
"171","4.844497","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   362; Unit:   1, Func:   4: Read Input Registers"
"172","4.847482","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=299 Ack=349 Win=502 Len=11"
"173","4.900785","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=349 Ack=310 Win=19808 Len=0"
"174","4.902345","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 173#1] 64279  >  502 [ACK] Seq=349 Ack=310 Win=19808 Len=0"
"175","5.014525","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   363; Unit:   1, Func:   3: Read Holding Registers"
"176","5.018523","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=349 Ack=310 Win=19808 Len=12"
"177","5.022394","10.10.10.10","10.10.20.30","Modbus/TCP","69","Response: Trans:   363; Unit:   1, Func:   3: Read Holding Registers"
"178","5.023875","10.10.10.10","10.10.20.30","TCP","69","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=310 Ack=361 Win=502 Len=11"
"179","5.070380","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=361 Ack=321 Win=19797 Len=0"
"180","5.073799","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 179#1] 64279  >  502 [ACK] Seq=361 Ack=321 Win=19797 Len=0"
"181","5.083700","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   364; Unit:   1, Func:   6: Write Single Register"
"182","5.087535","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=361 Ack=321 Win=19797 Len=12"
"183","5.091624","10.10.10.10","10.10.20.30","Modbus/TCP","70","Response: Trans:   364; Unit:   1, Func:   6: Write Single Register"
"184","5.095116","10.10.10.10","10.10.20.30","TCP","70","[TCP Retransmission] 502  >  64279 [PSH, ACK] Seq=321 Ack=373 Win=502 Len=12"
"185","5.143120","10.10.20.30","10.10.10.10","TCP","58","64279  >  502 [ACK] Seq=373 Ack=333 Win=19785 Len=0"
"186","5.144073","10.10.20.30","10.10.10.10","TCP","58","[TCP Dup ACK 185#1] 64279  >  502 [ACK] Seq=373 Ack=333 Win=19785 Len=0"
"187","5.186278","10.10.20.30","10.10.10.10","Modbus/TCP","70","   Query: Trans:   365; Unit:   1, Func:   1: Read Coils"
"188","5.190379","10.10.20.30","10.10.10.10","TCP","70","[TCP Retransmission] 64279  >  502 [PSH, ACK] Seq=373 Ack=333 Win=19785 Len=12"
